1.512	0
1.528	0.0198211
1.544	0.0388248
1.56	0.076065
1.576	0.0745284
1.592	0.164335
1.608	0.125285
1.624	0.193017
1.64	0.309713
1.656	0.405009
1.672	0.595943
1.688	0.877048
1.704	1.24317
1.72	1.37658
1.736	1.68915
1.752	2.02028
1.768	1.93946
1.784	2.02116
1.8	2.11393
1.816	2.04878
1.832	2.49576
1.848	2.64244
1.864	2.34421
1.88	2.19973
1.896	2.09839
1.912	1.56972
1.928	1.63092
1.944	1.67766
1.96	1.37331
1.976	1.33931
1.992	1.44617
2.008	1.42321
2.024	1.22005
2.04	0.978583
2.056	1.0291
2.072	0.743781
2.088	0.80673
2.104	0.804961
2.12	0.648701
2.136	0.588303
2.152	0.629552
2.168	0.58091
2.184	0.611239
2.2	0.516326
2.216	0.574865
2.232	0.483049
2.248	0.412094
2.264	0.478519
2.28	0.391705
2.296	0.35115
2.312	0.337649
2.328	0.418414
2.344	0.505373
2.36	0.390526
2.376	0.483654
2.392	0.501471
2.408	0.510791
2.424	0.456813
2.44	0.450842
2.456	0.659809
2.472	0.446819
2.488	0.493423
2.504	0.568327
2.52	0.641295
2.536	0.841906
2.552	0.76743
2.568	0.86316
2.584	0.977261
2.6	1.30756
2.616	1.04141
2.632	1.46301
2.648	1.43879
2.664	1.54545
2.68	1.73324
2.696	1.7764
2.712	1.77438
2.728	1.57329
2.744	1.85616
2.76	1.78002
2.776	1.66348
2.792	1.77508
2.808	1.86642
2.824	1.74088
2.84	1.73853
2.856	1.80421
2.872	1.62707
2.888	1.50367
2.904	1.62433
2.92	1.49803
2.936	1.58912
2.952	1.57194
2.968	1.41845
2.984	1.28374
3	1.45005
3.016	1.40927
3.032	1.38437
3.048	1.15567
3.064	1.23729
3.08	1.1952
3.096	1.29393
3.112	1.0704
3.128	1.00272
3.144	1.18917
3.16	1.07984
3.176	1.12404
3.192	1.06738
