        0.00096755        0.00161682
        0.00193511        0.00594635
        0.00290266        0.01198999
        0.00387021        0.01923428
        0.00483777        0.02774302
        0.00580532        0.03747303
        0.00677288        0.04798039
        0.00774043        0.05890849
        0.00870798        0.07058200
        0.00967554        0.08398719
        0.01064309        0.10009876
        0.01161064        0.11922860
        0.01257820        0.14110283
        0.01354575        0.16541194
        0.01451331        0.19183211
        0.01548086        0.21948919
        0.01644841        0.24692297
        0.01741597        0.27292148
        0.01838352        0.29745738
        0.01935107        0.32182683
        0.02031863        0.34790515
        0.02128618        0.37721067
        0.02225374        0.41053969
        0.02322129        0.44811987
        0.02418884        0.48954393
        0.02515640        0.53343243
        0.02612395        0.57760980
        0.02709150        0.62005267
        0.02805906        0.65996251
        0.02902661        0.69824537
        0.02999417        0.73713276
        0.03096172        0.77929025
        0.03192927        0.82693012
        0.03289683        0.88113311
        0.03386438        0.94116785
        0.03483193        1.00412836
        0.03579949        1.06563239
        0.03676704        1.12154359
        0.03773460        1.16980690
        0.03870215        1.21137238
        0.03966970        1.24981642
        0.04063726        1.28997472
        0.04160481        1.33622200
        0.04257236        1.39094994
        0.04353992        1.45370597
        0.04450747        1.52132439
        0.04547503        1.58913509
        0.04644258        1.65277791
        0.04741013        1.70993926
        0.04837769        1.76132860
        0.04934524        1.81059628
        0.05031279        1.86324807
        0.05128035        1.92479762
        0.05224790        1.99863367
        0.05321546        2.08427598
        0.05418301        2.17695453
        0.05515056        2.26898815
        0.05611812        2.35242909
        0.05708567        2.42186919
        0.05805322        2.47635220
        0.05902078        2.51982458
        0.05998833        2.55992558
        0.06095589        2.60525424
        0.06192344        2.66190852
        0.06289099        2.73092840
        0.06385855        2.80808275
        0.06482610        2.88589504
        0.06579365        2.95657312
        0.06676121        3.01482803
        0.06772876        3.05983868
        0.06869631        3.09598007
        0.06966387        3.13192376
        0.07063142        3.17809323
        0.07159898        3.24296332
        0.07256653        3.32965102
        0.07353408        3.43442069
        0.07450164        3.54782578
        0.07546919        3.65779573
        0.07643674        3.75345342
        0.07740430        3.82857970
        0.07837185        3.88370110
        0.07933941        3.92610983
        0.08030696        3.96736012
        0.08127451        4.01865689
        0.08224207        4.08609019
        0.08320962        4.16821972
        0.08417717        4.25708490
        0.08514473        4.34147224
        0.08611228        4.41095878
        0.08707984        4.45961065
        0.08804739        4.48832555
        0.08901494        4.50522777
        0.08998250        4.52357879
        0.09095005        4.55765139
        0.09191760        4.61790278
        0.09288516        4.70742539
        0.09385271        4.82096221
        0.09482027        4.94652897
        0.09578782        5.06912132
        0.09675537        5.17545562
